,cve,epss,date
0,CVE-2025-10137,0.00054,2025-10-05
1,CVE-2025-10147,0.00169,2025-10-05
2,CVE-2025-10412,0.00197,2025-10-05
3,CVE-2025-59834,0.00354,2025-10-05
4,CVE-2025-6921,0.00055,2025-10-05
5,CVE-2025-7045,0.00251,2025-10-05
6,CVE-2025-8268,0.0011,2025-10-05
7,CVE-2025-9054,0.00097,2025-10-05
8,CVE-2025-9321,0.00074,2025-10-05
9,CVE-2025-9816,0.00098,2025-10-05
10,CVE-2025-10137,0.00054,2025-10-06
11,CVE-2025-10147,0.00169,2025-10-06
12,CVE-2025-10412,0.00197,2025-10-06
13,CVE-2025-59834,0.00354,2025-10-06
14,CVE-2025-6921,0.00055,2025-10-06
15,CVE-2025-7045,0.00251,2025-10-06
16,CVE-2025-8268,0.0011,2025-10-06
17,CVE-2025-9054,0.00097,2025-10-06
18,CVE-2025-9321,0.00074,2025-10-06
19,CVE-2025-9816,0.00098,2025-10-06
20,CVE-2025-10137,0.00054,2025-10-07
21,CVE-2025-10147,0.00169,2025-10-07
22,CVE-2025-10412,0.00197,2025-10-07
23,CVE-2025-59834,0.00354,2025-10-07
24,CVE-2025-6921,0.00055,2025-10-07
25,CVE-2025-7045,0.00251,2025-10-07
26,CVE-2025-8268,0.0011,2025-10-07
27,CVE-2025-9054,0.00097,2025-10-07
28,CVE-2025-9321,0.00074,2025-10-07
29,CVE-2025-9816,0.00098,2025-10-07
30,CVE-2025-10137,0.00054,2025-10-08
31,CVE-2025-10147,0.00169,2025-10-08
32,CVE-2025-10412,0.00197,2025-10-08
33,CVE-2025-59834,0.00354,2025-10-08
34,CVE-2025-6921,0.00055,2025-10-08
35,CVE-2025-7045,0.00363,2025-10-08
36,CVE-2025-8268,0.0011,2025-10-08
37,CVE-2025-9054,0.00097,2025-10-08
38,CVE-2025-9321,0.00074,2025-10-08
39,CVE-2025-9816,0.00098,2025-10-08
40,CVE-2025-10137,0.00054,2025-10-09
41,CVE-2025-10147,0.00169,2025-10-09
42,CVE-2025-10412,0.00197,2025-10-09
43,CVE-2025-59834,0.00354,2025-10-09
44,CVE-2025-6921,0.00055,2025-10-09
45,CVE-2025-7045,0.00363,2025-10-09
46,CVE-2025-8268,0.0011,2025-10-09
47,CVE-2025-9054,0.00097,2025-10-09
48,CVE-2025-9321,0.00074,2025-10-09
49,CVE-2025-9816,0.00098,2025-10-09
50,CVE-2025-10137,0.00054,2025-10-10
51,CVE-2025-10147,0.00169,2025-10-10
52,CVE-2025-10412,0.00197,2025-10-10
53,CVE-2025-59834,0.00354,2025-10-10
54,CVE-2025-6921,0.00055,2025-10-10
55,CVE-2025-7045,0.00363,2025-10-10
56,CVE-2025-8268,0.0011,2025-10-10
57,CVE-2025-9054,0.00097,2025-10-10
58,CVE-2025-9321,0.00074,2025-10-10
59,CVE-2025-9816,0.00098,2025-10-10
60,CVE-2025-10137,0.00054,2025-10-11
61,CVE-2025-10147,0.00169,2025-10-11
62,CVE-2025-10412,0.00197,2025-10-11
63,CVE-2025-59834,0.00354,2025-10-11
64,CVE-2025-6921,0.00049,2025-10-11
65,CVE-2025-7045,0.00363,2025-10-11
66,CVE-2025-8268,0.0011,2025-10-11
67,CVE-2025-9054,0.00097,2025-10-11
68,CVE-2025-9321,0.00074,2025-10-11
69,CVE-2025-9816,0.00098,2025-10-11
70,CVE-2025-10137,0.00054,2025-10-12
71,CVE-2025-10147,0.00169,2025-10-12
72,CVE-2025-10412,0.00197,2025-10-12
73,CVE-2025-59834,0.00354,2025-10-12
74,CVE-2025-6921,0.00049,2025-10-12
75,CVE-2025-7045,0.00363,2025-10-12
76,CVE-2025-8268,0.0011,2025-10-12
